    0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00
    4.16666666666667E-03    4.14889524592872E-03    4.16665461034997E-03
    8.33333333333333E-03    8.29837893710072E-03    8.33323688305095E-03
    1.25000000000000E-02    1.24483656924782E-02    1.24996744817098E-02
    1.66666666666667E-02    1.65987702848219E-02    1.66658950724451E-02
    2.08333333333333E-02    2.07495076410671E-02    2.08318263251428E-02
    2.50000000000000E-02    2.49004928426992E-02    2.49973959147123E-02
    2.91666666666667E-02    2.90516411261300E-02    2.91625315223418E-02
    3.33333333333333E-02    3.32028678830732E-02    3.33271608367536E-02
    3.75000000000000E-02    3.73540886609203E-02    3.74912115554603E-02
    4.16666666666667E-02    4.15052191631167E-02    4.16546113860191E-02
    4.58333333333333E-02    4.56561752495374E-02    4.58172880472876E-02
    5.00000000000000E-02    4.98068729368630E-02    4.99791692706783E-02
    5.41666666666667E-02    5.39572283989551E-02    5.41401828014135E-02
    5.83333333333333E-02    5.81071579672328E-02    5.83002563997792E-02
    6.25000000000000E-02    6.22565781310484E-02    6.24593178423802E-02
    6.66666666666667E-02    6.64054055380628E-02    6.66172949233930E-02
    7.08333333333333E-02    7.05535569946221E-02    7.07741154558199E-02
    7.50000000000000E-02    7.47009494661326E-02    7.49297072727423E-02
    7.91666666666667E-02    7.88475000774377E-02    7.90839982285733E-02
    8.33333333333333E-02    8.29931261131927E-02    8.32369162003102E-02
    8.75000000000000E-02    8.71377450182415E-02    8.73883890887872E-02
    9.16666666666667E-02    9.12812743979921E-02    9.15383448199263E-02
    9.58333333333333E-02    9.54236320187924E-02    9.56867113459893E-02
    1.00000000000000E-01    9.95647358083061E-02    9.98334166468282E-02
    1.04166666666667E-01    1.03704503855889E-01    1.03978388731136E-01
    1.08333333333333E-01    1.07842854412964E-01    1.08121555637695E-01
    1.12500000000000E-01    1.11979705893398E-01    1.12262845436629E-01
    1.16666666666667E-01    1.16114976873876E-01    1.16402186230649E-01
    1.20833333333333E-01    1.20248586094281E-01    1.20539506156304E-01
    1.25000000000000E-01    1.24380452458063E-01    1.24674733385228E-01
    1.29166666666667E-01    1.28510495032623E-01    1.28807796125383E-01
    1.33333333333333E-01    1.32638633049681E-01    1.32938622622314E-01
    1.37500000000000E-01    1.36764785905659E-01    1.37067141160385E-01
    1.41666666666667E-01    1.40888873162052E-01    1.41193280064032E-01
    1.45833333333333E-01    1.45010814545805E-01    1.45316967699002E-01
    1.50000000000000E-01    1.49130529949690E-01    1.49438132473599E-01
    1.54166666666667E-01    1.53247939432680E-01    1.53556702839928E-01
    1.58333333333333E-01    1.57362963220328E-01    1.57672607295134E-01
    1.62500000000000E-01    1.61475521705138E-01    1.61785774382645E-01
    1.66666666666667E-01    1.65585535446947E-01    1.65896132693415E-01
    1.70833333333333E-01    1.69692925173295E-01    1.70003610867159E-01
    1.75000000000000E-01    1.73797611779805E-01    1.74108137593596E-01
    1.79166666666667E-01    1.77899516330556E-01    1.78209641613684E-01
    1.83333333333333E-01    1.81998560058461E-01    1.82308051720858E-01
    1.87500000000000E-01    1.86094664365642E-01    1.86403296762270E-01
    1.91666666666667E-01    1.90187750823805E-01    1.90495305640017E-01
    1.95833333333333E-01    1.94277741174618E-01    1.94584007312381E-01
    2.00000000000000E-01    1.98364557330086E-01    1.98669330795061E-01
    2.04166666666667E-01    2.02448121372924E-01    2.02751205162405E-01
    2.08333333333333E-01    2.06528355556938E-01    2.06829559548641E-01
    2.12500000000000E-01    2.10605182307396E-01    2.10904323149108E-01
    2.16666666666667E-01    2.14678524221409E-01    2.14975425221483E-01
    2.20833333333333E-01    2.18748304068302E-01    2.19042795087015E-01
    2.25000000000000E-01    2.22814444789990E-01    2.23106362131745E-01
    2.29166666666667E-01    2.26876869501360E-01    2.27166055807737E-01
    2.33333333333333E-01    2.30935501490639E-01    2.31221805634299E-01
    2.37500000000000E-01    2.34990264219775E-01    2.35273541199209E-01
    2.41666666666667E-01    2.39041081324811E-01    2.39321192159939E-01
    2.45833333333333E-01    2.43087876616261E-01    2.43364688244871E-01
    2.50000000000000E-01    2.47130574079486E-01    2.47403959254523E-01
    2.54166666666667E-01    2.51169097875071E-01    2.51438935062763E-01
    2.58333333333333E-01    2.55203372339197E-01    2.55469545618029E-01
    2.62500000000000E-01    2.59233321984021E-01    2.59495720944545E-01
    2.66666666666667E-01    2.63258871498053E-01    2.63517391143535E-01
    2.70833333333333E-01    2.67279945746526E-01    2.67534486394436E-01
    2.75000000000000E-01    2.71296469771775E-01    2.71546936956113E-01
    2.79166666666667E-01    2.75308368793616E-01    2.75554673168066E-01
    2.83333333333333E-01    2.79315568209717E-01    2.79557625451642E-01
    2.87500000000000E-01    2.83317993595975E-01    2.83555724311242E-01
    2.91666666666667E-01    2.87315570706895E-01    2.87548900335528E-01
    2.95833333333333E-01    2.91308225475961E-01    2.91537084198628E-01
    3.00000000000000E-01    2.95295884016016E-01    2.95520206661340E-01
    3.04166666666667E-01    2.99278472619636E-01    2.99498198572330E-01
    3.08333333333333E-01    3.03255917759506E-01    3.03470990869340E-01
    3.12500000000000E-01    3.07228146088796E-01    3.07438514580381E-01
    3.16666666666667E-01    3.11195084441537E-01    3.11400700824932E-01
    3.20833333333333E-01    3.15156659832996E-01    3.15357480815138E-01
    3.25000000000000E-01    3.19112799460053E-01    3.19308785857001E-01
    3.29166666666667E-01    3.23063430701576E-01    3.23254547351574E-01
    3.33333333333333E-01    3.27008481118799E-01    3.27194696796152E-01
    3.37500000000000E-01    3.30947878455694E-01    3.31129165785463E-01
    3.41666666666667E-01    3.34881550639350E-01    3.35057886012851E-01
    3.45833333333333E-01    3.38809425780349E-01    3.38980789271468E-01
    3.50000000000000E-01    3.42731432173138E-01    3.42897807455451E-01
    3.54166666666667E-01    3.46647498296410E-01    3.46808872561113E-01
    3.58333333333333E-01    3.50557552813478E-01    3.50713916688114E-01
    3.62500000000000E-01    3.54461524572647E-01    3.54612872040649E-01
    3.66666666666667E-01    3.58359342607596E-01    3.58505670928617E-01
    3.70833333333333E-01    3.62250936137751E-01    3.62392245768804E-01
    3.75000000000000E-01    3.66136234568660E-01    3.66272529086048E-01
    3.79166666666667E-01    3.70015167492370E-01    3.70146453514417E-01
    3.83333333333333E-01    3.73887664687803E-01    3.74013951798377E-01
    3.87500000000000E-01    3.77753656121132E-01    3.77874956793956E-01
    3.91666666666667E-01    3.81613071946155E-01    3.81729401469916E-01
    3.95833333333333E-01    3.85465842504673E-01    3.85577218908911E-01
    4.00000000000000E-01    3.89311898326866E-01    3.89418342308651E-01
    4.04166666666667E-01    3.93151170131667E-01    3.93252704983062E-01
    4.08333333333333E-01    3.96983588827138E-01    3.97080240363445E-01
