# iteration x_old x_new error residual
     1    1.50000000000000E+00    1.51829448593783E+00    1.82944859378311E-02    1.82944859378320E-02
     2    1.51829448593783E+00    1.52093526321689E+00    2.64077727906087E-03    2.64077727906020E-03
     3    1.52093526321689E+00    1.52131569819048E+00    3.80434973588084E-04    3.80434973588528E-04
     4    1.52131569819048E+00    1.52137048863776E+00    5.47904472811833E-05    5.47904472807392E-05
     5    1.52137048863776E+00    1.52137837926202E+00    7.89062425976539E-06    7.89062425954334E-06
     6    1.52137837926202E+00    1.52137951562036E+00    1.13635834120274E-06    1.13635834009251E-06
     7    1.52137951562036E+00    1.52137967927144E+00    1.63651079132521E-07    1.63651079354565E-07
     8    1.52137967927144E+00    1.52137970283942E+00    2.35679815663303E-08    2.35679820104195E-08
     9    1.52137970283942E+00    1.52137970623353E+00    3.39410988203781E-09    3.39411010408242E-09
    10    1.52137970623353E+00    1.52137970672233E+00    4.88797891051718E-10    4.88798557185532E-10
    11    1.52137970672233E+00    1.52137970679272E+00    7.03936908763581E-11    7.03934688317531E-11
