# x numerical exact absolute_error
   0.000000000000000E+00   5.000000000000000E-01   5.000000000000000E-01   0.000000000000000E+00
   1.000000000000000E-01   6.574143750000000E-01   6.574145409621763E-01   1.659621763350216E-07
   2.000000000000000E-01   8.292982759973958E-01   8.292986209199150E-01   3.449225192131422E-07
   3.000000000000000E-01   1.015070058432605E+00   1.015070596211999E+00   5.377793934613351E-07
   4.000000000000000E-01   1.214086905703011E+00   1.214087651179365E+00   7.454763537584341E-07
   5.000000000000000E-01   1.425638395648218E+00   1.425639364649936E+00   9.690017179764254E-07
   6.000000000000000E-01   1.648939390417204E+00   1.648940599804746E+00   1.209387541889484E-06
   7.000000000000000E-01   1.883122178556873E+00   1.883123646264761E+00   1.467707887892189E-06
   7.999999999999999E-01   2.127227790677515E+00   2.127229535753766E+00   1.745076250170285E-06
   8.999999999999999E-01   2.380196401779562E+00   2.380198444421525E+00   2.042641963573288E-06
   9.999999999999999E-01   2.640856724185053E+00   2.640859085770478E+00   2.361585424548451E-06
   1.100000000000000E+00   2.907914284914865E+00   2.907916988026782E+00   2.703111916968481E-06
   1.200000000000000E+00   3.179938470187933E+00   3.179941538631727E+00   3.068443794607134E-06
   1.300000000000000E+00   3.455348207379656E+00   3.455351666190377E+00   3.458810720946559E-06
   1.400000000000000E+00   3.732396141139947E+00   3.732400016577664E+00   3.875437716516217E-06
   1.500000000000000E+00   4.009151145300420E+00   4.009155464830967E+00   4.319530547469697E-06
   1.600000000000000E+00   4.283478995544286E+00   4.283483787802444E+00   4.792258158303753E-06
   1.700000000000000E+00   4.553021009404842E+00   4.553026304136401E+00   5.294731558969090E-06
   1.800000000000000E+00   4.815170439814790E+00   4.815176267793530E+00   5.827978739603168E-06
   1.900000000000001E+00   5.067046385945478E+00   5.067052778860365E+00   6.392914887243251E-06
   2.000000000000000E+00   5.305464960227352E+00   5.305471950534677E+00   6.990307325871470E-06
