# iteration estimate error residual
     1    1.50000000000000E+00    5.00000000000000E-01    1.25000000000000E-01
     2    1.75000000000000E+00    2.50000000000000E-01    1.60937500000000E+00
     3    1.62500000000000E+00    1.25000000000000E-01    6.66015625000000E-01
     4    1.56250000000000E+00    6.25000000000000E-02    2.52197265625000E-01
     5    1.53125000000000E+00    3.12500000000000E-02    5.91125488281250E-02
     6    1.51562500000000E+00    1.56250000000000E-02    3.40538024902344E-02
     7    1.52343750000000E+00    7.81250000000000E-03    1.22504234313965E-02
     8    1.51953125000000E+00    3.90625000000000E-03    1.09712481498718E-02
     9    1.52148437500000E+00    1.95312500000000E-03    6.22175633907318E-04
    10    1.52050781250000E+00    9.76562500000000E-04    5.17888646572828E-03
    11    1.52099609375000E+00    4.88281250000000E-04    2.27944331709296E-03
    12    1.52124023437500E+00    2.44140625000000E-04    8.28905860544182E-04
    13    1.52136230468750E+00    1.22070312500000E-04    1.03433123513241E-04
    14    1.52142333984375E+00    6.10351562500000E-05    2.59354251966215E-04
    15    1.52139282226562E+00    3.05175781250000E-05    7.79563135040462E-05
    16    1.52137756347656E+00    1.52587890625000E-05    1.27394676745496E-05
    17    1.52138519287109E+00    7.62939453125000E-06    3.26081572459280E-05
    18    1.52138137817383E+00    3.81469726562500E-06    9.93427836881722E-06
    19    1.52137947082520E+00    1.90734863281250E-06    1.40261125736174E-06
    20    1.52138042449951E+00    9.53674316406250E-07    4.26582940482589E-06
    21    1.52137994766235E+00    4.76837158203125E-07    1.43160803611764E-06
    22    1.52137970924377E+00    2.38418579101562E-07    1.44981298078051E-08
    23    1.52137959003448E+00    1.19209289550781E-07    6.94056628613993E-07
    24    1.52137964963913E+00    5.96046447753906E-08    3.39779265612350E-07
    25    1.52137967944145E+00    2.98023223876953E-08    1.62640571677031E-07
    26    1.52137969434261E+00    1.49011611938477E-08    7.40712224889251E-08
    27    1.52137970179319E+00    7.45058059692383E-09    2.97865461185154E-08
    28    1.52137970551848E+00    3.72529029846191E-09    7.64420837739976E-09
    29    1.52137970738113E+00    1.86264514923096E-09    3.42696093724726E-09
    30    1.52137970644981E+00    9.31322574615479E-10    2.10862349803165E-09
    31    1.52137970691547E+00    4.65661287307739E-10    6.59168719607806E-10
    32    1.52137970668264E+00    2.32830643653870E-10    7.24727833301131E-10
    33    1.52137970679905E+00    1.16415321826935E-10    3.27795568466627E-11
