# x numerical exact absolute_error
   0.000000000000000E+00   5.000000000000000E-01   5.000000000000000E-01   0.000000000000000E+00
   1.000000000000000E-01   6.574143750000000E-01   6.574145409621763E-01   1.659621763350216E-07
   2.000000000000000E-01   8.292982759973958E-01   8.292986209199150E-01   3.449225192131422E-07
   3.000000000000000E-01   1.015070058432605E+00   1.015070596211999E+00   5.377793934613351E-07
   4.000000000000000E-01   1.214089170119884E+00   1.214087651179365E+00   1.518940519362744E-06
   5.000000000000000E-01   1.425643660728107E+00   1.425639364649936E+00   4.296078171206474E-06
   6.000000000000000E-01   1.648948027315618E+00   1.648940599804746E+00   7.427510871904630E-06
   7.000000000000000E-01   1.883134836848713E+00   1.883123646264761E+00   1.119058395193662E-05
   7.999999999999999E-01   2.127245234060875E+00   2.127229535753766E+00   1.569830710934639E-05
   8.999999999999999E-01   2.380219469741704E+00   2.380198444421525E+00   2.102532017866920E-05
   9.999999999999999E-01   2.640886381174054E+00   2.640859085770478E+00   2.729540357604421E-05
   1.100000000000000E+00   2.907951641084164E+00   2.907916988026782E+00   3.465305738137303E-05
   1.200000000000000E+00   3.179984795435226E+00   3.179941538631727E+00   4.325680349914762E-05
   1.300000000000000E+00   3.455404952938295E+00   3.455351666190377E+00   5.328674791771348E-05
   1.400000000000000E+00   3.732464964481943E+00   3.732400016577664E+00   6.494790427868935E-05
   1.500000000000000E+00   4.009233937333998E+00   4.009155464830967E+00   7.847250303072428E-05
   1.600000000000000E+00   4.283577911287061E+00   4.283483787802444E+00   9.412348461701470E-05
   1.700000000000000E+00   4.553138502651518E+00   4.553026304136401E+00   1.121985151177896E-04
   1.800000000000000E+00   4.815309302155340E+00   4.815176267793530E+00   1.330343618102248E-04
   1.900000000000001E+00   5.067209790670837E+00   5.067052778860365E+00   1.570118104723406E-04
   2.000000000000000E+00   5.305656511738561E+00   5.305471950534677E+00   1.845612038833266E-04
