# x numerical exact absolute_error
   0.000000000000000E+00   5.000000000000000E-01   5.000000000000000E-01   0.000000000000000E+00
   1.000000000000000E-01   6.500000000000000E-01   6.574145409621763E-01   7.414540962176308E-03
   2.000000000000000E-01   8.140000000000001E-01   8.292986209199150E-01   1.529862091991496E-02
   3.000000000000000E-01   9.914000000000001E-01   1.015070596211999E+00   2.367059621199852E-02
   4.000000000000000E-01   1.181540000000000E+00   1.214087651179365E+00   3.254765117936453E-02
   5.000000000000000E-01   1.383694000000000E+00   1.425639364649936E+00   4.194536464993592E-02
   6.000000000000000E-01   1.597063400000000E+00   1.648940599804746E+00   5.187719980474581E-02
   7.000000000000000E-01   1.820769740000000E+00   1.883123646264761E+00   6.235390626476112E-02
   7.999999999999999E-01   2.053846714000000E+00   2.127229535753766E+00   7.338282175376554E-02
   8.999999999999999E-01   2.295231385400000E+00   2.380198444421525E+00   8.496705902152524E-02
   9.999999999999999E-01   2.543754523940000E+00   2.640859085770478E+00   9.710456183047755E-02
   1.100000000000000E+00   2.798129976334000E+00   2.907916988026782E+00   1.097870116927822E-01
   1.200000000000000E+00   3.056942973967400E+00   3.179941538631727E+00   1.229985646643268E-01
   1.300000000000000E+00   3.318637271364140E+00   3.455351666190377E+00   1.367143948262366E-01
   1.400000000000000E+00   3.581500998500554E+00   3.732400016577664E+00   1.508990180771095E-01
   1.500000000000000E+00   3.843651098350610E+00   4.009155464830967E+00   1.655043664803575E-01
   1.600000000000000E+00   4.103016208185671E+00   4.283483787802444E+00   1.804675796167734E-01
   1.700000000000000E+00   4.357317829004238E+00   4.553026304136401E+00   1.957084751321627E-01
   1.800000000000000E+00   4.604049611904662E+00   4.815176267793530E+00   2.111266558888678E-01
   1.900000000000001E+00   4.840454573095128E+00   5.067052778860365E+00   2.265982057652369E-01
   2.000000000000000E+00   5.063500030404641E+00   5.305471950534677E+00   2.419719201300365E-01
