# iteration residual
       1     4.4727272727E+00
       2     9.4000000000E-01
       3     2.3841322314E-01
       4     5.8591735537E-02
       5     1.4816769346E-02
       6     3.7813854245E-03
       7     9.7621834574E-04
       8     2.5410522232E-04
       9     6.6592287114E-05
      10     1.7542916011E-05
      11     4.6402247849E-06
      12     1.2311816135E-06
      13     3.2743895506E-07
      14     8.7239895308E-08
      15     2.3274810523E-08
      16     6.2158207470E-09
      17     1.6612791143E-09
      18     4.4425618739E-10
      19     1.1885070705E-10
      20     3.1805669209E-11
      21     8.5140783312E-12
      22     2.2808421818E-12
      23     6.0929039591E-13
