# x exact forward_O1 backward_O1 central_O2 forward_O2 backward_O2 central_O4
   6.283185307179587E-02    9.980267284282716E-01    9.968763376567981E-01    9.988487977691338E-01    9.978625677129660E-01    9.983544660084301E-01    9.983554392984267E-01    9.980266960264534E-01
   9.424777960769380E-02    9.955619646030800E-01    9.939200809535335E-01    9.968763376567981E-01    9.953982093051658E-01    9.958886488664038E-01    9.958901076006301E-01    9.955619322812829E-01
   1.256637061435917E-01    9.921147013144779E-01    9.899829451277927E-01    9.939200809535335E-01    9.919515130406631E-01    9.924400098630384E-01    9.924419526019010E-01    9.921146691045987E-01
   1.570796326794897E-01    9.876883405951378E-01    9.850688156573003E-01    9.899829451277927E-01    9.875258803925465E-01    9.880119523886723E-01    9.880143772149226E-01    9.876883085289636E-01
   1.884955592153876E-01    9.822872507286887E-01    9.791825421945556E-01    9.850688156573012E-01    9.821256789259284E-01    9.826088464014310E-01    9.826117509220559E-01    9.822872188378667E-01
   2.199114857512856E-01    9.759167619387474E-01    9.723299337808037E-01    9.791825421945547E-01    9.757562379876792E-01    9.762360241145902E-01    9.762394054631822E-01    9.759167302547483E-01
   2.513274122871835E-01    9.685831611286311E-01    9.645177531132270E-01    9.723299337808037E-01    9.684238434470154E-01    9.688997747343593E-01    9.689036295739268E-01    9.685831296827245E-01
   2.827433388230814E-01    9.602936856769431E-01    9.557537098709642E-01    9.645177531132270E-01    9.601357314920956E-01    9.606073382531420E-01    9.606116627794382E-01    9.602936545001604E-01
   3.141592653589793E-01    9.510565162951535E-01    9.460464531066070E-01    9.557537098709642E-01    9.509000814887856E-01    9.513668983046101E-01    9.513716882498320E-01    9.510564854182643E-01
   3.455751918948773E-01    9.408807689542255E-01    9.354055627106024E-01    9.460464531066070E-01    9.407260079086046E-01    9.411875740873593E-01    9.411928247244291E-01    9.408807384077014E-01
   3.769911184307752E-01    9.297764858882513E-01    9.238415399570865E-01    9.354055627106024E-01    9.296235513338444E-01    9.300794113654411E-01    9.300851175126000E-01    9.297764557022367E-01
   4.084070449666731E-01    9.177546256839811E-01    9.113657971403737E-01    9.238415399570865E-01    9.176036685487301E-01    9.180533725543552E-01    9.180595285803304E-01    9.177545958882681E-01
   4.398229715025711E-01    9.048270524660195E-01    8.979906463124072E-01    9.113657971403737E-01    9.046782217263905E-01    9.051213259024801E-01    9.051279257320182E-01    9.048270230900097E-01
   4.712388980384690E-01    8.910065241883679E-01    8.837292871322596E-01    8.979906463124072E-01    8.908599667223334E-01    8.912960337785698E-01    8.913030708984240E-01    8.910064952610542E-01
   5.026548245743669E-01    8.763066800438636E-01    8.685957938396374E-01    8.837292871322596E-01    8.761625404859484E-01    8.765911400767842E-01    8.765986075421875E-01    8.763066515937947E-01
   5.340707511102649E-01    8.607420270039436E-01    8.526051013653437E-01    8.685957938396374E-01    8.606004476024905E-01    8.610211567518909E-01    8.610290471933271E-01    8.607419990591965E-01
   5.654866776461628E-01    8.443279255020151E-01    8.357729905922527E-01    8.526051013653402E-01    8.441890459787965E-01    8.446014494976015E-01    8.446097551281934E-01    8.443278980901632E-01
   5.969026041820608E-01    8.270805742745618E-01    8.181160727815552E-01    8.357729905922527E-01    8.269445316869040E-01    8.273482225826536E-01    8.273569352057090E-01    8.270805474226631E-01
   6.283185307179586E-01    8.090169943749475E-01    7.996517731793618E-01    8.181160727815516E-01    8.088839229804567E-01    8.092785028589566E-01    8.092876138762011E-01    8.090169681094972E-01
   6.597344572538566E-01    7.901550123756903E-01    7.803983138201757E-01    7.996517731793618E-01    7.900250434997688E-01    7.904101229583286E-01    7.904196233782651E-01    7.901549867226109E-01
   6.911503837897546E-01    7.705132427757891E-01    7.603746955438768E-01    7.803983138201757E-01    7.703865046820262E-01    7.707617036937027E-01    7.707715841405843E-01    7.705132177603989E-01
   7.225663103256524E-01    7.501110696304596E-01    7.396006792442287E-01    7.603746955438768E-01    7.499876873940527E-01    7.503526356827284E-01    7.503628864057291E-01    7.501110452774439E-01
   7.539822368615504E-01    7.289686274214116E-01    7.180967663672327E-01    7.396006792442287E-01    7.288487228057308E-01    7.292030602114948E-01    7.292136710944064E-01    7.289686037548052E-01
   7.853981633974484E-01    7.071067811865475E-01    6.958841786787086E-01    7.180967663672327E-01    7.069904725229706E-01    7.073338493575885E-01    7.073448099287384E-01    7.071067582297025E-01
   8.168140899333463E-01    6.845471059286886E-01    6.729848373209453E-01    6.958841786787121E-01    6.844345079998287E-01    6.847665853918278E-01    6.847778848344500E-01    6.845470837042642E-01
   8.482300164692442E-01    6.613118653236518E-01    6.494213411791875E-01    6.729848373209453E-01    6.612030892500664E-01    6.615235394791423E-01    6.615351666420637E-01    6.613118438535794E-01
   8.796459430051422E-01    6.374239897486896E-01    6.252169445792778E-01    6.494213411791875E-01    6.373191428792326E-01    6.376276496997023E-01    6.376395931083121E-01    6.374239690541581E-01
   9.110618695410401E-01    6.129070536529765E-01    6.003955343384216E-01    6.252169445792778E-01    6.128062394588497E-01    6.131024984117258E-01    6.131147462793265E-01    6.129070337544097E-01
   9.424777960769380E-01    5.877852522924730E-01    5.749816061918097E-01    6.003955343384216E-01    5.876885702651157E-01    5.879722889785911E-01    5.879848292179936E-01    5.877852332095073E-01
   9.738937226128359E-01    5.620833778521306E-01    5.490002406182505E-01    5.749816061918062E-01    5.619909234050283E-01    5.622618218829704E-01    5.622746421185002E-01    5.620833596035967E-01
   1.005309649148734E+00    5.358267949789965E-01    5.224770780888069E-01    5.490002406182505E-01    5.357386593535287E-01    5.359964702518569E-01    5.360095578314691E-01    5.358267775829068E-01
   1.036725575684632E+00    5.090414157503712E-01    4.954382937627143E-01    5.224770780888069E-01    5.089576859257606E-01    5.092021548162416E-01    5.092154968240871E-01    5.090413992238946E-01
   1.068141502220530E+00    4.817536741017152E-01    4.679105716556595E-01    4.954382937627143E-01    4.816744327091869E-01    4.819053183305274E-01    4.819189015996714E-01    4.817536584611583E-01
   1.099557428756428E+00    4.539904997395468E-01    4.399210783059201E-01    4.679105716556595E-01    4.539158249807898E-01    4.541328994767819E-01    4.541467106021321E-01    4.539904850003447E-01
   1.130973355292326E+00    4.257792915650727E-01    4.114974359641965E-01    4.399210783059201E-01    4.257092571350584E-01    4.259123062793584E-01    4.259263316310505E-01    4.257792777417734E-01
   1.162389281828224E+00    3.971478906347806E-01    3.826676953338727E-01    4.114974359641965E-01    3.970825656490347E-01    3.972713890566667E-01    3.972856147933365E-01    3.971478777410248E-01
   1.193805208364122E+00    3.681245526846779E-01    3.534603078882812E-01    3.826676953338727E-01    3.680640016110770E-01    3.682384129361287E-01    3.682528250187126E-01    3.681245407331903E-01
   1.225221134900019E+00    3.387379202452913E-01    3.239040977925826E-01    3.534603078882812E-01    3.386822028404319E-01    3.388420299599829E-01    3.388566141654855E-01    3.387379092478669E-01
