# x error_FO1 error_BO1 error_CO2 error_FO2 error_BO2 error_CO4
   6.283185307179587E-02    1.150390771473497E-03    8.220693408622637E-04    1.641607153055613E-04    3.277375801585825E-04    3.287108701551800E-04    3.240181811747789E-08
   9.424777960769380E-02    1.641883649546538E-03    1.314373053718065E-03    1.637552979142365E-04    3.266842633238287E-04    3.281429975501293E-04    3.232179712764349E-08
   1.256637061435917E-01    2.131756186685152E-03    1.805379639055582E-03    1.631882738147850E-04    3.253085485604990E-04    3.272512874231692E-04    3.220987920826701E-08
   1.570796326794897E-01    2.619524937837459E-03    2.294604532654954E-03    1.624602025912525E-04    3.236117935345728E-04    3.260366197848086E-04    3.206617416040558E-08
   1.884955592153876E-01    3.104708534133138E-03    2.781564928612479E-03    1.615718027603297E-04    3.215956727422586E-04    3.245001933671610E-04    3.189082198318260E-08
   2.199114857512856E-01    3.586828157943756E-03    3.265780255807260E-03    1.605239510682477E-04    3.192621758427716E-04    3.226435244347847E-04    3.168399909103670E-08
   2.513274122871835E-01    4.065408015404115E-03    3.746772652172603E-03    1.593176816157005E-04    3.166136057282110E-04    3.204684452957629E-04    3.144590654535762E-08
   2.827433388230814E-01    4.539975805978869E-03    4.224067436283896E-03    1.579541848474308E-04    3.136525761989750E-04    3.179771024951483E-04    3.117678271102875E-08
   3.141592653589793E-01    5.010063188546576E-03    4.697193575810665E-03    1.564348063679555E-04    3.103820094565446E-04    3.151719546784504E-04    3.087688926761700E-08
   3.455751918948773E-01    5.475206243623076E-03    5.165684152381500E-03    1.547610456208437E-04    3.068051331338584E-04    3.120557702036564E-04    3.054652408795988E-08
   3.769911184307752E-01    5.934945931164837E-03    5.629076822351031E-03    1.529345544069027E-04    3.029254771897971E-04    3.086316243486875E-04    3.018601468784965E-08
   4.084070449666731E-01    6.388828543607450E-03    6.086914273105370E-03    1.509571352510397E-04    2.987468703740115E-04    3.049028963492129E-04    2.979571300798511E-08
   4.398229715025711E-01    6.836406153612251E-03    6.538744674354224E-03    1.488307396290134E-04    2.942734364606014E-04    3.008732659987023E-04    2.937600973584864E-08
   4.712388980384690E-01    7.277237056108277E-03    6.984122124039316E-03    1.465574660345359E-04    2.895095902019085E-04    2.965467100560781E-04    2.892731365555790E-08
   5.026548245743669E-01    7.710886204226219E-03    7.422607088396038E-03    1.441395579151461E-04    2.844600329205971E-04    2.919274983239628E-04    2.845006885632273E-08
   5.340707511102649E-01    8.136925638599912E-03    7.853766835693721E-03    1.415794014530958E-04    2.791297479473043E-04    2.870201893834246E-04    2.794474718292861E-08
   5.654866776461628E-01    8.554934909762335E-03    8.277175863325104E-03    1.388795232185602E-04    2.735239955864444E-04    2.818296261782871E-04    2.741185189947259E-08
   5.969026041820608E-01    8.964501493006649E-03    8.692416317690910E-03    1.360425876578697E-04    2.676483080917835E-04    2.763609311471349E-04    2.685189870454963E-08
   6.283185307179586E-01    9.365221195585693E-03    9.099078406604177E-03    1.330713944907025E-04    2.615084840091875E-04    2.706195012536217E-04    2.626545025918858E-08
   6.597344572538566E-01    9.756698555514642E-03    9.496760803671456E-03    1.299688759215378E-04    2.551105826382738E-04    2.646110025747994E-04    2.565307943847017E-08
   6.911503837897546E-01    1.013854723191232E-02    9.885071044386518E-03    1.267380937629570E-04    2.484609179135289E-04    2.583413647951893E-04    2.501539020371979E-08
   7.225663103256524E-01    1.051039038623092E-02    1.026362591341723E-02    1.233822364068438E-04    2.415660522687713E-04    2.518167752695311E-04    2.435301571512838E-08
   7.539822368615504E-01    1.087186105417881E-02    1.063205182281712E-02    1.199046156807881E-04    2.344327900832832E-04    2.450436729948269E-04    2.366660634134377E-08
   7.853981633974484E-01    1.122260250783891E-02    1.098998518068528E-02    1.163086635768140E-04    2.270681710410116E-04    2.380287421909211E-04    2.295684498054840E-08
   8.168140899333463E-01    1.156226860774334E-02    1.133707275002349E-02    1.125979288598700E-04    2.194794631391606E-04    2.307789057613974E-04    2.222442441190964E-08
   8.482300164692442E-01    1.189052414446434E-02    1.167297199729345E-02    1.087760735853927E-04    2.116741554905044E-04    2.233013184118615E-04    2.147007238662013E-08
   8.796459430051422E-01    1.220704516941185E-02    1.199735143049785E-02    1.048468694569982E-04    2.036599510126802E-04    2.156033596224516E-04    2.069453153286105E-08
   9.110618695410401E-01    1.251151931455485E-02    1.230989092630130E-02    1.008141941267748E-04    1.954447587493302E-04    2.076926263500090E-04    1.989856679429636E-08
   9.424777960769380E-01    1.280364610066331E-02    1.261028204594861E-02    9.668202735735321E-05    1.870366861180806E-04    1.995769255205282E-04    1.908296576313973E-08
   9.738937226128359E-01    1.308313723388010E-02    1.289822833967558E-02    9.245444710226369E-05    1.784440308397750E-04    1.912642663696174E-04    1.824853390619552E-08
   1.005309649148734E+00    1.334971689018960E-02    1.317344563925393E-02    8.813562546783338E-05    1.696752728603812E-04    1.827628524725400E-04    1.739608979089979E-08
   1.036725575684632E+00    1.360312198765695E-02    1.343566233843574E-02    8.372982461057887E-05    1.607390658704411E-04    1.740810737158593E-04    1.652647663163975E-08
   1.068141502220530E+00    1.384310244605569E-02    1.368461966099910E-02    7.924139252829532E-05    1.516442288121977E-04    1.652274979562773E-04    1.564055684966092E-08
   1.099557428756428E+00    1.406942143362666E-02    1.392007191611266E-02    7.467475875699847E-05    1.423997372351216E-04    1.562108625852709E-04    1.473920213657109E-08
   1.130973355292326E+00    1.428185560087614E-02    1.414178674084748E-02    7.003443001429854E-05    1.330147142857840E-04    1.470400659778215E-04    1.382329922750003E-08
   1.162389281828224E+00    1.448019530090783E-02    1.434954532941596E-02    6.532498574590706E-05    1.234984218861368E-04    1.377241585559519E-04    1.289375572977036E-08
   1.193805208364122E+00    1.466424479639666E-02    1.454314264919487E-02    6.055107360086742E-05    1.138602514508813E-04    1.282723340347292E-04    1.195148752186626E-08
   1.225221134900019E+00    1.483382245270864E-02    1.472238764298994E-02    5.571740485932342E-05    1.041097146916026E-04    1.186939201942017E-04    1.099742436005968E-08
   1.256637061435917E+00    1.498876091716522E-02    1.488710341763516E-02    5.082874976503060E-05    9.425643422084073E-05    1.089983697841190E-04    1.003250799103128E-08
   1.288052987971815E+00    1.512890728421551E-02    1.503712741855295E-02    4.588993283127785E-05    8.431013401316578E-05    9.919525115631433E-05    9.057692318403809E-09
   1.319468914507713E+00    1.525412324630543E-02    1.517231159015903E-02    4.090582807322884E-05    7.428062990294526E-05    8.929423877473974E-05    8.073935575669822E-09
   1.350884841043611E+00    1.536428523040997E-02    1.529252252200683E-02    3.588135420157235E-05    6.417781976519876E-05    7.930510377460176E-05    7.082211678222095E-09
   1.382300767579509E+00    1.545928451994233E-02    1.539764158040799E-02    3.082146976715605E-05    5.401167387300565E-05    6.923770419783870E-05    6.083499648479318E-09
   1.413716694115407E+00    1.553902736207563E-02    1.548756502555149E-02    2.573116826207200E-05    4.379222497685742E-05    5.910197537634110E-05    5.078782505663071E-09
   1.445132620651305E+00    1.560343506025418E-02    1.556220411385081E-02    2.061547320167390E-05    3.352955844010408E-05    4.890792003373057E-05    4.069054898581115E-09
   1.476548547187203E+00    1.565244405184921E-02    1.562148518553580E-02    1.547943315670375E-05    2.323380228112792E-05    3.866559848329787E-05    3.055311573185726E-09
   1.507964473723101E+00    1.568600597090890E-02    1.566534973735177E-02    1.032811677856293E-05    1.291511716955407E-05    2.838511865574378E-05    2.038549037908233E-09
