    0.00000000000000E+00    1.00000000000000E+00
    3.33333333333333E-03    9.99988888950617E-01
    6.66666666666667E-03    9.99955556543195E-01
    1.00000000000000E-02    9.99900004999833E-01
    1.33333333333333E-02    9.99822238023755E-01
    1.66666666666667E-02    9.99722260798897E-01
    2.00000000000000E-02    9.99600079989334E-01
    2.33333333333333E-02    9.99455703738538E-01
    2.66666666666667E-02    9.99289141668473E-01
    3.00000000000000E-02    9.99100404878527E-01
    3.33333333333333E-02    9.98889505944279E-01
    3.66666666666667E-02    9.98656458916103E-01
    4.00000000000000E-02    9.98401279317606E-01
    4.33333333333333E-02    9.98123984143909E-01
    4.66666666666667E-02    9.97824591859753E-01
    5.00000000000000E-02    9.97503122397460E-01
    5.33333333333333E-02    9.97159597154711E-01
    5.66666666666667E-02    9.96794038992180E-01
    6.00000000000000E-02    9.96406472230993E-01
    6.33333333333333E-02    9.95996922650036E-01
    6.66666666666667E-02    9.95565417483093E-01
    7.00000000000000E-02    9.95111985415830E-01
    7.33333333333333E-02    9.94636656582617E-01
    7.66666666666667E-02    9.94139462563188E-01
    8.00000000000000E-02    9.93620436379149E-01
    8.33333333333333E-02    9.93079612490316E-01
    8.66666666666667E-02    9.92517026790907E-01
    9.00000000000000E-02    9.91932716605571E-01
    9.33333333333333E-02    9.91326720685258E-01
    9.66666666666667E-02    9.90699079202940E-01
    1.00000000000000E-01    9.90049833749168E-01
    1.03333333333333E-01    9.89379027327483E-01
    1.06666666666667E-01    9.88686704349666E-01
    1.10000000000000E-01    9.87972910630838E-01
    1.13333333333333E-01    9.87237693384409E-01
    1.16666666666667E-01    9.86481101216871E-01
    1.20000000000000E-01    9.85703184122443E-01
    1.23333333333333E-01    9.84903993477565E-01
    1.26666666666667E-01    9.84083582035246E-01
    1.30000000000000E-01    9.83242003919255E-01
    1.33333333333333E-01    9.82379314618178E-01
    1.36666666666667E-01    9.81495570979311E-01
    1.40000000000000E-01    9.80590831202428E-01
    1.43333333333333E-01    9.79665154833385E-01
    1.46666666666667E-01    9.78718602757591E-01
    1.50000000000000E-01    9.77751237193336E-01
    1.53333333333333E-01    9.76763121684975E-01
    1.56666666666667E-01    9.75754321095970E-01
    1.60000000000000E-01    9.74724901601794E-01
    1.63333333333333E-01    9.73674930682701E-01
    1.66666666666667E-01    9.72604477116348E-01
    1.70000000000000E-01    9.71513610970296E-01
    1.73333333333333E-01    9.70402403594357E-01
    1.76666666666667E-01    9.69270927612824E-01
    1.80000000000000E-01    9.68119256916563E-01
    1.83333333333333E-01    9.66947466654964E-01
    1.86666666666667E-01    9.65755633227779E-01
    1.90000000000000E-01    9.64543834276815E-01
