# h error_forward error_central error_fourth order_forward order_central order_fourth
   2.000000000000000E-01    8.746180007149085E-02    3.594818198881078E-03    2.867922305527237E-05    0.000000000000000E+00    0.000000000000000E+00    0.000000000000000E+00
   1.000000000000000E-01    4.293855333275065E-02    9.000536983797547E-04    1.798864879165585E-06    1.026379455808847E+00    1.997835828747401E+00    3.994847212267919E+00
   5.000000000000000E-02    2.125749014573053E-02    2.250978217075428E-04    1.125294837311941E-07    1.014302316240899E+00    1.999458981315191E+00    3.998711868256518E+00
   2.500000000000000E-02    1.057411922026441E-02    5.627973142496856E-05    7.034663851435141E-09    1.007433771204455E+00    1.999864746812387E+00    3.999677753239074E+00
   1.250000000000000E-02    5.273195438947109E-03    1.407026262478794E-05    4.396937258732692E-10    1.003788124891601E+00    1.999966186770379E+00    3.999910634965098E+00
   6.250000000000000E-03    2.633105853900641E-03    3.517586260937122E-06    2.747746474796031E-11    1.001911947346815E+00    1.999991549192750E+00    4.000178143578604E+00
   3.125000000000000E-03    1.315676741627581E-03    8.793978465426733E-07    1.708522212595653E-12    1.000960454387239E+00    1.999997897949582E+00    4.007427988178246E+00
   1.562500000000000E-03    6.576189226890072E-04    2.198495550054247E-07    1.009192729384267E-13    1.000481348540705E+00    1.999999387289581E+00    4.081475381607944E+00
   7.812500000000000E-04    3.287545491601485E-04    5.496242883040736E-08    7.716050021144838E-14    1.000240954599011E+00    1.999998947974631E+00    3.872673165832373E-01
   3.906250000000000E-04    1.643635399815047E-04    1.374043412383230E-08    2.070565940925917E-13    1.000120549906667E+00    2.000018173044679E+00   -1.424090747531730E+00
   1.953125000000000E-04    8.217833563284316E-05    3.435006501462112E-09    8.859579736508749E-14    1.000060291165014E+00    2.000042851523495E+00    1.224714978920254E+00
   9.765625000000001E-05    4.108830917592954E-05    8.588627586902930E-10    2.430278200904468E-13    1.000030148318618E+00    1.999813309089365E+00   -1.455811302958600E+00
   4.882812500000000E-05    2.054394026762552E-05    2.148268229973382E-10    4.202194148206218E-13    1.000015050534307E+00    1.999253477849739E+00   -7.900213456921479E-01
   2.441406250000000E-05    1.027191611191469E-05    5.339151343264348E-11    1.936006910341348E-12    1.000007587378893E+00    2.008491788351818E+00   -2.203869378624847E+00
