# x numerical exact absolute_error used_step error_estimate
   0.000000000000000E+00   5.000000000000000E-01   5.000000000000000E-01   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   8.372828929953602E-02   6.308002983926128E-01   6.308002982557804E-01   1.368323232497914E-10   8.372828929953602E-02   3.973412154856248E-09
   1.666420369222071E-01   7.703879842786112E-01   7.703879840045561E-01   2.740551119373436E-10   8.291374762267108E-02   3.651656754755095E-09
   2.535047079590493E-01   9.270073304177111E-01   9.270073299586475E-01   4.590635649392993E-10   8.686267103684218E-02   4.417533117084815E-09
   3.443679700013289E-01   1.101776348650072E+00   1.101776347945842E+00   7.042306737758963E-10   9.086326204227965E-02   5.262982272213890E-09
   4.393382980933251E-01   1.295854672865373E+00   1.295854671840516E+00   1.024856643994099E-09   9.497032809199622E-02   6.182764966666809E-09
   5.385979778756689E-01   1.510482404783841E+00   1.510482403343668E+00   1.440173313937976E-09   9.925967978234372E-02   7.167785476269728E-09
   6.424308002725405E-01   1.747030709138897E+00   1.747030707164160E+00   1.974736596466187E-09   1.038328223968717E-01   8.199206424919225E-09
   7.512683297254215E-01   2.007097378285135E+00   2.007097375624511E+00   2.660623721340016E-09   1.088375294528809E-01   9.239596199250855E-09
   8.657763639417903E-01   2.292696108282114E+00   2.292696104740949E+00   3.541165582987560E-09   1.145080342163688E-01   1.021266715639513E-08
   9.870308899725480E-01   2.606663886481956E+00   2.606663881803986E+00   4.677969567268292E-09   1.212545260307577E-01   1.095014567908947E-08
   1.116929970356666E+00   2.953662786301388E+00   2.953662780135056E+00   6.166332333634728E-09   1.298990803841179E-01   1.102277247255756E-08
   1.259410714518226E+00   3.343264475228509E+00   3.343264467049843E+00   8.178665744651425E-09   1.424807441615606E-01   9.007549373052370E-09
   1.426201062786452E+00   3.805024262616378E+00   3.805024251443110E+00   1.117326764443760E-08   1.667903482682258E-01   3.480278287781857E-09
   1.584437019165774E+00   4.241042116948575E+00   4.241042103996296E+00   1.295227836095592E-08   1.582359563793214E-01   2.665194909212687E-08
   1.723031263128328E+00   4.614158112985572E+00   4.614158098814503E+00   1.417106876289154E-08   1.385942439625543E-01   2.770260287832116E-08
   1.861225560768774E+00   4.970804585841802E+00   4.970804570896453E+00   1.494534895840616E-08   1.381942976404458E-01   4.126952735106215E-08
   1.990367300895636E+00   5.283185980922590E+00   5.283185965294809E+00   1.562778084718275E-08   1.291417401268619E-01   4.092736993754897E-08
   2.000000000000000E+00   5.305471966313720E+00   5.305471950534675E+00   1.577904473748504E-08   9.632699104364484E-03   1.278976924368180E-13
